Date,Name,Year,Letterboxd URI
2021-01-25,Mama,2013,https://boxd.it/4i9s
2021-01-25,Solaris,1972,https://boxd.it/2a2Y
2021-01-26,Dancer in the Dark,2000,https://boxd.it/71E
2021-01-27,Return of the Jedi,1983,https://boxd.it/27Vm
2021-01-27,Skull: The Mask,2020,https://boxd.it/qkbk
2021-01-28,Santa Sangre,1989,https://boxd.it/1FrI
2021-01-29,Night of the Living Dead,1968,https://boxd.it/1WwA
2021-01-30,WandaVision,2021,https://boxd.it/sbGW
2021-02-01,Ant-Man,2015,https://boxd.it/3vmW
2021-02-01,Captain Marvel,2019,https://boxd.it/9vSA
2021-02-04,Vampyr,1932,https://boxd.it/29DY
2021-02-05,Wonder Woman 1984,2020,https://boxd.it/gBtA
2021-02-06,Up,2009,https://boxd.it/1OEc
2021-02-06,Malcolm & Marie,2021,https://boxd.it/r5cO
2021-02-07,Dersu Uzala,1975,https://boxd.it/1XRO
2021-02-15,The Adventures of Tintin,2011,https://boxd.it/1Irc
2021-02-15,Jurassic Park,1993,https://boxd.it/2aA2
2021-02-15,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G
2021-02-15,Ready Player One,2018,https://boxd.it/aZes
2021-02-16,Batman Returns,1992,https://boxd.it/2awa
2021-02-16,Wonder Woman,2017,https://boxd.it/9roG
2021-02-16,The Avengers,2012,https://boxd.it/1xFW
2021-02-16,Kung Fu Panda 2,2011,https://boxd.it/G36
2021-02-16,The Muppets,2011,https://boxd.it/1zg
2021-02-16,Fear and Desire,1952,https://boxd.it/1WVq
2021-02-24,I Care a Lot,2020,https://boxd.it/mcHk
2021-02-28,Come and See,1985,https://boxd.it/1w9q
2021-03-06,Ghost Rider,2007,https://boxd.it/290M
2021-03-06,Ghost Rider: Spirit of Vengeance,2011,https://boxd.it/2qne
2021-03-07,Where the Wild Things Are,2009,https://boxd.it/1K0C
2021-03-07,The Irishman: In Conversation,2019,https://boxd.it/odsY
2021-03-07,First Reformed,2017,https://boxd.it/go9C
2021-03-10,Space Jam,1996,https://boxd.it/26YO
2021-03-10,Mulholland Drive,2001,https://boxd.it/297o
2021-03-12,Taxi Driver,1976,https://boxd.it/2b8y
2021-03-14,The Legend of Tarzan,2016,https://boxd.it/7DUU
2021-03-16,Judas and the Black Messiah,2021,https://boxd.it/lsew
2021-03-17,Bohemian Rhapsody,2018,https://boxd.it/f1TK
2021-03-17,The Nun,2018,https://boxd.it/fBkw
